Name,Link,Paper (if exists),Genre,Region,Texture,Musical Focus,Utility,Usability,Representation,Has Audio?,Comments,Labels & Metadata,Instruments,Suitable Tasks
200DrumMachines,http://www.hexawe.net/mess/200.Drum.Machines,,"Rock, Pop",,,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",,Compressed,yes,,"Audio samples, 7371 one-shots; Musical Focus: Rhythm","Drums (implied by ""DrumMachines"" and ""one-shots"")","Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval, Drum sound classification, Drum pattern recognition, Synthetic drum track generation"
AAM,https://zenodo.org/record/5794629,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-023-00278-7,"Pop, Electronic, Classical, Rock","American, European, Central Asian, East Asian",,"Melody, Rhythm, Harmony","Classification & Segmentation, Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,Waveform,yes,,"Onsets, pitches, instruments, melody instrument, keys, chords, tempo, beats, segments (all precise, from algorithmic composition)",Multiple (artificial) tracks with real instrument samples; full mixes and single instrument tracks,"Music segmentation, instrument recognition, source separation, onset detection, key and chord recognition, tempo estimation"
AccoMontage2,https://github.com/billyblu2000/accomontage2,https://arxiv.org/abs/2209.00353,"RnB & Soul, Pop",,,"Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Structured Format,no,,"Chord progressions with style labels ('pop_standard', 'pop_complex', 'dark', 'r&b', 'unknown'), mode ('M', 'm'), tonic (C, Db,..., B); Quantized note matrices ([start, end, pitch, velocity]), root labels; Length labels (4 or 8 bars)","Piano (for accompaniment arrangement); Implies melody, chords, and accompaniment tracks","Full-length song harmonization, Accompaniment arrangement based on a lead melody, Chord progression generation, Style transfer"
ACM_MIRUM,http://www.marsyas.info/tempo,,,,,,,,,yes,,Tempo,Not specified (general music),"Tempo induction/estimation, Tempo classification"
ADC2004,http://labrosa.ee.columbia.edu/projects/melody,http://www.ee.columbia.edu/~dpwe/pubs/ismir05-melody.pdf,"Jazz, Rock, Pop, RnB & Soul",,"Monophonic, Polyphonic","Melody, Vocals, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation",,"Waveform, Structured Format",yes,,"Predominant pitch (ground-truth frequencies for pitched frames, MIDI note numbers); Musical Focus: Melody, Vocals, Harmony","Real recordings, synthesized voice, MIDI; Multi-track recordings (jazz, pop, R&B, rock); Separate vocal and instrumental tracks","Melody extraction (predominant melody extraction), Classification & Segmentation, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
AcousticBrainz-Genre,https://mtg.github.io/acousticbrainz-genre-dataset/,https://repositori-api.upf.edu/api/core/bitstreams/de1ed57c-4771-456a-8daa-c994f5c810ea/content,"Jazz, Rock, RnB & Soul, Hip-Hop, Country, Electronic, Pop, Classical, Folk, Easy Listening","American, European, East Asian, Latin American","Monophonic, Homophonic, Heterophonic, Polyphonic","Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Classification & Segmentation, Recommendation & Retrieval, Transcription & Generation",Conditional Access,"Textual , Feature based",no,,"Multi-label, hierarchical genre annotations (genre and subgenre); Sourced from expert (AllMusic, Discogs) and crowds (Lastfm, Tagtraum); Audio features (low-level spectral, genre, mood, keys, scales)",Not specified (audio features for over 2 million songs imply diverse instrumentation),"Music genre recognition (MGR), Multi-label hierarchical classification, Development/validation of automatic annotation algorithms, Monomodal Embeddings, Classification & Segmentation, Recommendation & Retrieval, Transcription & Generation"
AED,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,https://www.isca-archive.org/interspeech_2016/takahashi16b_interspeech.pdf,,,"Monophonic, Onomatopoetic",Melody,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Waveform,yes,,"28 classes of acoustic event sounds (e.g., acoustic guitar, violin, vehicles, human, environmental, household); 5223 samples, 768.4 minutes; Harvested from Freesound (notes on noisiness)","Acoustic guitar, Violin (explicitly listed as event classes); Other sounds are non-musical","Acoustic Event Recognition/Classification (AER), Training/evaluating ML models for AER"
AIST-Dance-DB,https://aistdancedb.ongaaccel.jp,https://archives.ismir.net/ismir2019/paper/000060.pdf,"Pop, Hip-Hop, Jazz",American,,"Melody, Rhythm, Vocals, Harmony","Monomdal Embeddings , Unsupervised pretraining",Open Access,"Waveform, Compressed",yes,,"10 major street dance genres, basic dance moves, choreography type (intense, loose, hard, soft), dance situations (showcase, cypher, battle), dancer information, musical piece information (genre, tempi)",Dance music (60 original pieces); Focus on dance motions,"Dance-motion genre classification, Dancer identification, Dance-technique estimation, Structural analysis of choreographies, Dance-mood analysis, Classification of video categories, Recognition of dance motions from any direction, Dance-Motion Generation (choreography generation driven by music, generating motions for robots/CG dancers), Dance-Music Analysis (dance-music classification, multimodal analysis of dance-music correlation), Dance-Music Generation"
Amg1608,https://amg1608.blogspot.ch,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7178058,Pop,"American, European",,"Melody, Harmony, Rhythm, Vocals","Classification & Segmentation, Monomdal Embeddings",Open Access,Feature based,no,,Valence & arousal (emotional annotations); 1608 30-second music clips annotated by 665 subjects for 46 topics; Dynamic affect labels of full-length musical pieces,Not specified (music clips imply diverse instrumentation),"Music emotion recognition (MER), VA emotion modeling, Music recommendation system, Music classification, Psychotherapy, Music visualization, Background music generation, Smart home applications"
"AMT-pilot, CASD",https://github.com/chordify/CASD,https://ismir2011.ismir.net/papers/OS8-1.pdf,"Jazz, Pop",American,,"Harmony, Melody, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining",Conditional Access,Feature based,yes,,"Chord labels (Harte et al. syntax); Reported difficulty (Likert scale) and annotation time per annotator; Structure by multiple annotators; Detailed chord, meter, phrase, musical structure transcriptions (time-aligned)",Not specified (focus on chord/structural annotations),"Advance research into annotator subjectivity and computational harmony, Audio-chord-recognition algorithms, Music transcription"
APL,https://archive.org/details/Automatic_Practice_Logging,https://archive.org/details/Automatic_Practice_Logging,Classical,,Monophonic,Melody,"Unsupervised pretraining, Monomdal Embeddings",Open Access,"Waveform, Compressed",yes,,Piano practice; Over 600 annotated recordings of solo piano practice; Characterizes content and manner of practice,Piano (solo piano practice),"Automatic Practice Logging (APL), Aligning short segments of practice audio with reference recordings (pitch chroma, DTW)"
artist20,http://labrosa.ee.columbia.edu/projects/artistid,https://www.ee.columbia.edu/~dpwe/pubs/Ellis07-timbrechroma.pdf,Pop,"American, South/South-east Asia",,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",,"Waveform, Feature based",no,,20 artists; Used for 20-way pop music artist identification; MFCCs reflect instruments/arrangements; Chroma features invariant to instrumentation,Not specified (1413 pop songs imply diverse instrumentation),"Artist identification, Classification & Segmentation, Monomodal Embeddings, Unsupervised pretraining"
ASAP,https://github.com/fosfrancesco/asap-dataset,https://archives.ismir.net/ismir2020/paper/000127.pdf,Classical,European,Monophonic,Melody,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation, Classification & Segmentation",Conditional Access,"Waveform, Structured Format",yes (see MAESTRO),,"Aligned MIDI/audio performances and MIDI/XML scores; Beats, downbeats, time signatures, key signatures; Beat types (""db"", ""b"", ""bR""), score measure mapping, alignment status; Composer and title metadata",Piano (Western classical piano music),"Complete Audio-to-Score Automatic Music Transcription (AMT), Metrical structure-based tasks (beat/downbeat tracking, tempo estimation, metrical structure alignment, rhythm quantization), Key/Time signature estimation"
ATEPP,https://zenodo.org/record/6564406#.Y5QnkezP3OQ,https://doi.org/10.5281/zenodo.6564406,Classical,European,Monophonic,Melody,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation, Classification & Segmentation",Restricted Access,"Waveform, Structured Format",,,"MIDI files (transcriptions of piano performances), MusicXML scores (approx. half of tracks); Symbolic music MIDI, MusicXML",Expressive piano performances,"Comparative studies of piano performances, Classification tasks, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation, Classification & Segmentation"
AudioSet,https://research.google.com/audioset/index.html,https://research.google.com/pubs/pub45857.html,"RnB & Soul, Rock, Hip-Hop, Jazz, Country, Electronic, Pop, Classical, Folk, Easy Listening","South/South-east Asia, American, East Asian, Middle-Eastern, European, Latin American, Central Asian, Sub-Saharan","Monophonic, Homophonic, Onomatopoetic, Heterophonic, Polyphonic","Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation, Classification & Segmentation, Recommendation & Retrieval",Open Access,Textual,no,,"632 audio event classes (hierarchical graph); Categories: human sounds, animal sounds, musical instruments/genres, environmental sounds; 2,084,320 human-labeled 10-second clips (5.8K hours)",Multiple (includes labels for specific musical instruments and genres),"Audio event detection, Developing comprehensive vocabulary of sound events, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation, Classification & Segmentation, Recommendation & Retrieval"
bach10,http://www2.ece.rochester.edu/projects/air/resource.html,,,,,,,,,yes,,"Ground-truth pitch values (MIDI number) per part/frame, ground-truth notes (pitch, time, onset/offset), ground-truth alignment between audio and MIDI; MIDI scores","Violin, Clarinet, Saxophone, Bassoon (for Soprano, Alto, Tenor, Bass parts)","Multi-pitch Estimation and Tracking, Audio-score Alignment, Source Separation, Monomodal Embeddings, Unsupervised pretraining"
BAF,https://github.com/guillemcortes/baf-dataset/,https://zenodo.org/records/7372162,"RnB & Soul, Rock, Jazz, Hip-Hop, Country, Electronic, Pop, Classical, Folk",,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Restricted Access,"Waveform, Compressed",yes,Cannot be used for music generation,"Cross-annotations with exact matching timestamps between Epidemic tracks and TV recordings; 80% background music; ""Cannot be used for music generation""",Not specified (production music and TV broadcast audio imply diverse instrumentation),"Music monitoring in broadcast, Audio fingerprinting, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
ballroom,http://mtg.upf.edu/ismir2004/contest/tempoContest/node5.html,,"
Classical",Latin American,,"Melody, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Waveform,yes,,"8 genres/dance styles (Cha Cha, Jive, Quickstep, Rumba, Samba, Tango, Viennese Waltz, Slow Waltz); Tempo, beats, bars/downbeats",Not explicitly mentioned (real audio excerpts imply typical ballroom music instrumentation),"Tempo analysis, Genre classification of ballroom dance music, Rhythm classification, Tempo induction, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
beatboxset1,http://archive.org/details/beatboxset1,,Hip-Hop,,,"Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining",Conditional Access,"Compressed, Waveform",yes,,"Percussion annotation; Musical Focus: Rhythm, Vocals",Human voice (beatboxing); Combines percussive and vocal elements,"Percussion annotation, Onset detection, Drum transcription, Monomodal Embeddings, Unsupervised pretraining"
BPS-FH,https://github.com/Tsung-Ping/functional-harmony,https://ismir2018.ircam.fr/doc/pdfs/178_Paper.pdf,Classical,European,,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation",Open Access,"Structured Format, Feature based, Textual",no,,"Functional harmony annotations: key, primary/secondary degree, quality (major, minor, augmented, diminished, various sevenths, augmented sixth), inversion; Note events, beats/downbeats, chords (onset, offset, key, degree, quality, inversion, Roman numeral), phrases, musical form",Piano (Beethoven's Piano Sonatas),"Functional harmony recognition, Symbolic chord estimation, Classification & Segmentation, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
"C224a, C49ka-C111ka, C3ka",http://www.cp.jku.at/people/schedl/datasets.html,https://archives.ismir.net/ismir2004/paper/000211.pdf,"RnB & Soul, Rock, Jazz, Hip-Hop, Country, Electronic, Pop, Easy Listening, Classical, Folk","European, American",,"Melody, Harmony, Vocals, Rhythm","Classification & Segmentation, Recommendation & Retrieval",,,no,,"Genres (14, 18, unspecified), Artists (224, 3000, 48800/110588); Musical Focus: Melody, Harmony, Vocals, Rhythm",Not specified (large music collections imply diverse instrumentation),"Classification & Segmentation, Recommendation & Retrieval, Music genre classification, Artist identification"
"CAL500, CAL10k",http://calab1.ucsd.edu/~datasets/,http://eceweb.ucsd.edu/~gert/papers/TASLP-08.pdf,Pop,"European, American",,"Melody, Harmony, Rhythm, Vocals",,Open Access,"Feature based, Textual, Compressed",yes,,"Semantic annotations/tags: emotional content (18 emotions), 36 genres, 29 instruments, 22 vocal characterizations, 15 song concepts (tempo, energy, sound quality), 15 usage terms; Vocabulary of 174-237 words",29 instruments explicitly annotated for CAL500; CAL10k also music-based,"Semantic audio annotation and retrieval, Multi-class multi-label classification, Music Information Retrieval"
Dunya,https://dunya.compmusic.upf.edu/,,Classical,"East Asian, Middle-Eastern, South/South-east Asia","Monophonic, Homophonic","Melody, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Conditional Access,"Compressed, Textual",on request,,"Musical Focus: Melody, Rhythm, Vocals; ""on request"" access",Not specified (focus on vocal and melodic instruments),"Classification & Segmentation, Recommendation & Retrieval, Monomodal Embeddings, Unsupervised pretraining"
CBFdataset,https://zenodo.org/record/3250223,https://qmro.qmul.ac.uk/xmlui/handle/123456789/59179,Classical,East Asian,Monophonic,Melody,"Monomdal Embeddings , Unsupervised pretraining",Open Access,Compressed,yes,,4 playing techniques (Chinese Bamboo Flute); Full-length expert performances; Absence of pitch labels,Chinese Bamboo Flute (CBF),"Instrument playing technique detection, Monomodal Embeddings, Unsupervised pretraining"
CCMixter,http://www.loria.fr/~aliutkus/kam/,https://members.loria.fr/ALiutkus/kam/KAM.pdf,,,,"Vocals, Melody, Harmony, Rhythm",Classification & Segmentation,,Compressed,yes,,"Vocal track, background track; Musical Focus: Vocals, Melody, Harmony, Rhythm","Vocals, and implied multiple instruments for background track","Classification & Segmentation, Music/voice separation"
ChoCo,https://github.com/smashub/choco,https://doi.org/10.5281/zenodo.7706751,Classical,,"Monophonic, Homophonic, Heterophonic, Polyphonic","Melody, Harmony, Rhythm","Classification & Segmentation, Transcription & Generation, Unsupervised pretraining, Monomdal Embeddings","Open Access, Restricted Access","Structured Format, Waveform, Textual",no,,"Timed chord annotations (Harte, Roman numerals); Tonality and modulations (local/global keys); Structural segmentations, beat annotations; Rich provenance data",Not specified (covers diverse genres imply multiple instruments),"Chord parsing and manipulation, Data transformation, Classification & Segmentation, Transcription & Generation, Unsupervised pretraining, Monomodal Embeddings"
ChoralMusicSeparation,https://github.com/RetroCirce/Choral_Music_Separation,https://arxiv.org/pdf/2209.02871,Classical,European,,"Harmony, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation",Conditional Access,"Structured Format, Compressed",yes,,"Harmony, Vocals; Synthesized from JSB Chorales (MusicXML/MIDI) using sampled instrument plugins (controllable expressiveness); Aims for individual voice parts (soprano, alto, tenor, bass)","Piano, Vocal (sampled instruments: Voices Of Rapture, Dominus Choir); Implies soprano, alto, tenor, bass voices","Choral music separation (extracting individual voice parts), Source separation on real choral music, Evaluating separation performance (common/same-source instruments, vocal timbre distinction), Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Transcription & Generation"
Chopin22,http://iwk.mdw.ac.at/goebl/mp3.html,http://www.ofai.at/cgi-bin/tr-online?number+2005-16,Classical,European,,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Compressed,yes,,"Performance data from 22 skilled pianists (labeled by ID); ""Avg."" labels for Etude/Ballade; Musical Focus: Melody, Harmony",Bösendorfer computer-controlled grand piano (single instrument),"Melody lead analysis in piano performance, Expressive music performance studies (AI/ML), Live tracking of musical performances (on-line time warping), Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
Clotho,https://zenodo.org/record/3490684,https://doi.org/10.1109/ICASSP40776.2020.9052990,,,,,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation, Classification & Segmentation, Recommendation & Retrieval",Open Access,Waveform,yes,,"5 descriptive captions per audio sample (24,905 captions for 4981 audio samples); Audio 15-30s, captions 8-20 words; Metadata: file name, keywords, URL, start/end samples, uploader, license","Not specified (audio captioning implies diverse sound events, including musical)","Audio captioning, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation, Classification & Segmentation, Recommendation & Retrieval"
CMMSD,https://sourceforge.net/projects/segmentationgt/,,,,Monophonic,,Classification & Segmentation,Open Access,Feature based,no,,"Note-level segmentation of monophonic music; Labels: note, rest, transition; Onsets, vibrato; 36 excerpts, 718 notes","Strings, woodwind, and brass instrument groups (monophonic)","Note-level segmentation, Music performance analysis, Feature selection, Onset and offset detection, Classification & Segmentation"
Coidach,http://jmir.sourceforge.net/Codaich.html,,,,,,,,,no,,"26,420 labeled MP3s, 55 musical genres (popular, world, classical, jazz); 19 metadata fields (Title, Artist, Composer, Album, Genre)","Not specified (large, diverse collection implies multiple instruments)","Music Information Retrieval (MIR) research, Training/testing data, Automatic genre classification"
corpusCOFLA,http://www.cofla-project.com/?page_id=170,,,,,,,,,no,,"Musical Focus: Melody, Rhythm, Vocals; Deals with flamenco music","Flamenco singing; Implies instruments common in flamenco (e.g., guitar, percussion)","Computational analysis, characterization, and synthesis of flamenco music; Automatic indexing of audio-visual libraries, education, large-scale musicological studies; Extracting melodic templates; Automatic transcription of flamenco singing; Automatic classification of flamenco genres"
covers80,http://labrosa.ee.columbia.edu/projects/coversongs/covers80/,http://labrosa.ee.columbia.edu/~dpwe/pubs/EllisC07-covers.pdf,Pop,American,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,"Compressed, Textual",yes,,"Musical Focus: Melody, Harmony, Rhythm, Vocals; 80 pieces, each with two versions (160 tracks total), for cover song detection; Includes pre-calculated features",Not specified (pop genre implies diverse instrumentation),"Cover song detection, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
"Cross-Composer, Cross-Era",https://www.audiolabs-erlangen.de/resources/MIR/cross-comp,http://ismir2010.ismir.net/proceedings/ismir2010-25.pdf,Classical,European,,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,"Compressed, Feature based",no,,"Composer-related info, piece-related info (title, instrumentation), performance-specific info (album, performer), artist ID; Global key labels; Automatically computed chord labels; Musical Focus: Melody, Harmony","Multiple (Orchestral, Piano, Solo concertos, Choir, Organ, Harpsichord, Ensemble); Balanced for Piano and Orchestra in Cross-Era","Composer identification, Analysis/Classification of Western classical music recordings (Baroque, Classical, Romantic, Modern), Global key detection, Style analysis over history, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
CSD,https://zenodo.org/record/2649950,"Cuesta, H., Gómez, E., Martorell, A., Loáiciga, F. (2018). Analysis of Intonation in Unison Choir Singing. In Proceedings of the 15th International Conference on Music Perception and Cognition.",Classical,European,Polyphonic,"Melody, Harmony, Vocals","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,"Waveform, Structured Format",yes,,"Musical Focus: Melody, Harmony, Vocals; F0, MIDI; Analysis of Intonation in Unison Choir Singing","Vocals (choir singing, polyphonic)","Analysis of Intonation in Unison Choir Singing, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
dadaGP,https://github.com/dada-bots/dadaGP,https://archives.ismir.net/ismir2021/paper/000076.pdf,"Rock, Pop, Classical, Jazz, Electronic, Folk",,,"Melody, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Structured Format,no,,"GuitarPro songs (gp3, gp4, gp5 formats); Artist and genre information (from Spotify); Note effect tokens (nfx) for guitar playing techniques (palm mute, bends, vibratos, slides, hammer-ons, pull-offs)","Up to nine instrumental parts: 3 distorted/overdriven guitars, 2 clean/acoustic guitars, 1 bass, 1 drumset, 1 lead (e.g., piano), 1 pad (e.g., choir/strings); Supports 7-string guitars, 5/6-string basses, downtuning; Banjo and instrument-change events not supported","Symbolic music generation (GuitarPro format), Guitar-Bass Transcription (from synthetic audio), Music Style Transfer (genre-based), Artist/Genre Classification (from symbolic representation), Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
DALI,https://github.com/gabolsgabs/DALI,https://zenodo.org/record/1492443,,,,Vocals,"Monomdal Embeddings , Unsupervised pretraining, Recommendation & Retrieval, Classification & Segmentation","Restricted Access, Conditional Access","Compressed, Waveform",no,,"Synchronized audio, lyrics, vocal notes; Annotations at different granularities (notes, lines, words, paragraphs); Includes text, time (start/end), frequency range, index to upper level; Song ID, artist, title, metadata (album, release date, cover, genres, language)",Vocals (singing voice),"Loading/managing dataset, Accessing song info, Working with annotations at different granularities, Visualization, Annotation manipulation, Audio retrieval, Monomodal Embeddings, Unsupervised pretraining, Recommendation & Retrieval, Classification & Segmentation"
DAMP,https://ccrma.stanford.edu/damp/,https://zenodo.org/record/1492443,"Pop, Classical, Folk, Others",,,"Vocals, Melody","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,Waveform,yes,,"Vocals, Melody; Karaoke performances, aligned lyrics, pronunciation assessment","Vocals (implied by ""karaoke performances"")","Pronunciation assessment, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
Da-TACOS,https://mtg.github.io/da-tacos/,http://archives.ismir.net/ismir2019/paper/000038.pdf,"Rock, Pop, Jazz",,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,"Textual , Feature based",no,,"Performance title/artist, work title/artist, release year, SecondHandSongs.com IDs, instrumental status; MusicBrainz ID, song length, genre/style tags; Musical Focus: Melody, Harmony, Rhythm, Vocals","Not specified (includes ""instrumental or not"" status implies diverse instrumentation)","Cover Song Identification (CSI), Cover Analysis, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
DCS,https://www.audiolabs-erlangen.de/resources/MIR/2020-DagstuhlChoirSet,https://www.audiolabs-erlangen.de/content/resources/MIR/00_2020-DagstuhlChoirSet/2020_RosenzweigCWSGM_DagstuhlChoirSet_TISMIR_ePrint.pdf,Classical,European,Polyphonic,Vocals,"Monomdal Embeddings, Unsupervised pretraining, Classification & Segmentation",Open Access,Compressed,yes,,"Beats, time-aligned scores, F0 (fundamental frequency); Multitrack recordings of individual singing voices","Vocals (a cappella choral music, amateur vocal ensemble in full choir/quartet settings)","MIR research on choral singing, Choral intonation assessment, Multiple fundamental frequency (F0) estimation, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
DEAM,http://cvml.unige.ch/databases/DEAM,,,,,"Rhythm, Harmony, Melody","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,"Waveform, Feature based",yes,,"Valence & arousal (continuous per-second and whole-song); Metadata: duration, genre, folksonomy tags; Musical Focus: Rhythm, Harmony, Melody",Not specified (music excerpts imply diverse instrumentation),"Emotional analysis of music, Music emotion recognition, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
DEAPDataset,http://www.eecs.qmul.ac.uk/mmv/datasets/deap/readme.html,http://www.eecs.qmul.ac.uk/mmv/datasets/deap/doc/tac_special_issue_2011.pdf,,,,,"Monomdal Embeddings , Unsupervised pretraining, Recommendation & Retrieval, Classification & Segmentation",Open Access,Waveform,no,,"Arousal, Valence, Dominance, Liking, Familiarity (9-point scales); Emotion Wheel Ratings (slice, strength); VAQ (Valence/Arousal Quadrant) estimates; Questionnaire responses","Physiological signals (EEG, EOG, EMG, GSR, Respiration, Plethysmograph, Temperature, ECG, BVP); Frontal face video; Music videos (stimuli)","Emotion analysis (physiological/audiovisual signals), Emotion recognition/classification/regression, Physiological signal processing, Facial expression analysis, Multimodal emotion analysis, Data synchronization, Questionnaire data analysis, Adaptive music video recommendation system, Implicit affective tagging"
DESED,https://github.com/turpaultn/DESED,https://hal.inria.fr/hal-02160855,,,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Waveform,yes,,10 event classes in a domestic environment; Soundbank for generating synthetic soundscapes (background/foreground files); Real data (Audioset subsets),"Not specified (focus on sound events, not necessarily musical instruments)","Domestic Environment Sound Event Detection (DESED), Generating new synthetic soundscapes (Scaper), Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
