Name,Link,Paper (if exists),Genre,Region,Texture,Musical Focus,Utility,Usability,Representation,Has Audio?,Comments,Labels & Metadata,Instruments,Suitable Tasks
DREANSS,http://mtg.upf.edu/download/datasets/dreanss,http://mtg.upf.edu/node/2802,"Rock, RnB & Soul, Electronic",,,"Melody, Harmony, Vocals, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,"Structured Format, Textual",yes,,"Onset times, percussion instruments; Musical Focus: Melody, Harmony, Vocals, Rhythm",Percussion instruments; Other instruments implied by musical focus,"Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
DrumPt,https://github.com/cwu307/DrumPtDataset,"Chih-Wei Wu, Alexander Lerch, On Drum Playing Technique Detection in Polyphonic Mixtures, in Proceedings of the International Conference on Music Information Retrieval (ISMIR), New York, 2016.",,,,Rhythm,Classification & Segmentation,Open Access,"Feature based, Waveform",yes (see ENST),,"4 playing techniques; Annotations of drum playing techniques (Flam, Drag)",Drums,"Drum playing technique detection, Parameter estimation (Flam/Drag), Testing/evaluation of detection systems, Augmenting existing libraries with synthetic audio, Classification & Segmentation"
DSD100,https://sigsep.github.io/datasets/dsd100.html,"@inproceedings{
  SiSEC16,
  Title = {The 2016 Signal Separation Evaluation Campaign},
  Address = {Cham},
  Author = {Liutkus, Antoine and St{\""o}ter, Fabian-Robert and Rafii, Zafar and Kitamura, Daichi and Rivet, Bertrand and Ito, Nobutaka and Ono, Nobutaka and Fontecave, Julie},
  Editor = {Tichavsk{\'y}, Petr and Babaie-Zadeh, Massoud and Michel, Olivier J.J. and Thirion-Moreau, Nad{\`e}ge},
  Pages = {323--332},
  Publisher = {Springer International Publishing},
  Year = {2017},
  booktitle = {Latent Variable Analysis and Signal Separation - 12th International Conference, {LVA/ICA} 2015, Liberec, Czech Republic, August 25-28, 2015, Proceedings},
}",,,,"Vocals, Rhythm, Harmony, Melody","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation","Open Access, Restricted Access",Waveform,yes,,"Multitrack recordings (mixture, isolated stems for drums, bass, vocals, other instruments); Musical Focus: Vocals, Rhythm, Harmony, Melody","Drums, Bass, Vocals, Other instruments","Signal separation, Source separation in music, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Transcription & Generation"
"emoMusic, EMusic, EMO-Soundscapes",http://cvml.unige.ch/databases/emoMusic,http://ibug.doc.ic.ac.uk/media/uploads/documents/cmm13-soleymani.pdf,,,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Restricted Access,"Waveform, Compressed",yes,,"Arousal & valence; EMusic: 100 experimental + 40 music clips (8 genres), valence/arousal ranking; EMO-Soundscapes: 1213 6-second audio clips (600 soundscape, 613 mixed), perceived emotion (valence/arousal)",Not specified for emoMusic/EMusic; EMO-Soundscapes are soundscape recordings (environmental sounds),"Music emotion recognition, Soundscape emotion recognition, Classification & Segmentation, Monomodal Embeddings, Unsupervised pretraining, Recommendation & Retrieval"
Emotify,http://www.projects.science.uu.nl/memotion/emotifydata,"A. Aljanaki, F. Wiering, R. C. Veltkamp. Studying emotion induced by music through a crowdsourcing game. Information Processing & Management, 2015","Classical, Pop, Rock, Electronic",,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Compressed,yes,,"Emotional annotations using GEMS (9 categories); Participant's mood, liking/disliking, age, gender, mother tongue","Not specified (400 one-minute song excerpts across rock, classical, pop, electronic imply diverse instrumentation)","Study of emotion induced by music through crowdsourcing, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
EnsembleSet,https://zenodo.org/record/6519024#.Y52xKex_pTZ,https://qmro.qmul.ac.uk/xmlui/handle/123456789/80496,Classical,European,,"Harmony, Rhythm, Melody","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Conditional Access,"Waveform, Structured Format",yes,,Individual instrument stems (for source separation); Automated articulation mapping for playing styles (MIDI/MusicXML input),"Multiple: String, Wind, and Brass instruments (chamber ensembles)","Chamber ensemble separation, Robustness to different microphone setups, Understanding impact of mixing on source separation, Developing/benchmarking source separation models, Generalizability studies, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
ENST-Drums,http://www.tsi.telecom-paristech.fr/aao/en/2010/02/19/enst-drums-an-extensive-audio-visual-database-for-drum-signals-processing/,"ENST-Drums: an extensive audio-visual database for drum signals processing, Olivier Gillet and Gaël Richard, In Proc of ISMIR'06, Victoria, Canada, 2006.","Jazz, Rock","Latin American, American",,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Restricted Access,Waveform,yes,,"Fully annotated drum sequences; Temporal locations of unpitched percussive sounds, instrument recognition","Drums (multiple drum kits, varied in size, played with sticks, rods, brushes, mallets); Snare drum, bass drum, hi-hat, other drum instruments","Automatic drum transcription and processing, Single drum event classification, Complex multimodal drum track transcription/extraction from polyphonic music, Detecting temporal locations of percussive sounds, Recognizing instruments played, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
Erkomaishvili,https://www.audiolabs-erlangen.de/resources/MIR/2019-GeorgianMusic-Erkomaishvili,https://www.audiolabs-erlangen.de/content/resources/MIR/00_2019-GeorgianMusic-Erkomaishvili/2020_RosenzweigEtAl_Erkomaishvili_TISMIR_ePrint.pdf,Others,European,Polyphonic,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,"Waveform, Structured Format",yes,,"Sheet music, structure, F0, note onsets; Musical Focus: Melody, Harmony",Not specified,"Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
Extendedballroom,http://anasynth.ircam.fr/home/media/ExtendedBallroom/,"U. Marchand, G. Peeters. “Scale and shift invariant time/frequency representation using auditory statistics: application to rhythm description.” in IEEE International Workshop on Machine Learning for Signal Processing, September 2016.",Others,,,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,"Waveform, Textual , Spectogram",downloadable,,"9 genres, tempo; Musical Focus: Rhythm",Not specified,"Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
ExtraSensory,http://extrasensory.ucsd.edu/,,,,,,,,,yes,,51 context labels,Not specified,Not specified
ffuhrmann,http://www.dtic.upf.edu/~ffuhrmann/PhD/data,,,,,,,,,yes/no,,11 predominant instruments,"Cello, Clarinet, Flute, Acoustic Guitar, Electric Guitar, Organ, Piano, Saxophone, Trumpet, Violin, Human Singing Voice",Automatic recognition of predominant instruments in musical audio signals
FlaBase,http://mtg.upf.edu/download/datasets/flabase,http://mtg.upf.edu/node/3319,Folk,European,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Recommendation & Retrieval, Classification & Segmentation",Open Access,"Compressed, Textual",no,,"Editorial, biographical, musicological information on flamenco, 1102 artists, 74 palos, 2860 albums; Musical Focus: Melody, Harmony, Rhythm, Vocals",Not specified,"Monomodal Embeddings, Unsupervised pretraining, Recommendation & Retrieval, Classification & Segmentation"
FifteenSongs,https://github.com/grateful-dead-live/fifteen-songs-dataset,,Rock,American,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Compressed,yes,,"Not specified; Musical Focus: Melody, Harmony, Rhythm, Vocals",Not specified,"Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
"FMA-small, FMA-medium, FMA-large, FMA-full",https://github.com/mdeff/fma,https://arxiv.org/abs/1612.01840,"RnB & Soul, Rock, Jazz, Hip-Hop, Country, Electronic, Pop, Classical, Folk, Easy Listening","American, European",,"Melody, Harmony, Rhythm, Vocals",Classification & Segmentation,"Open Access, Restricted Access","Compressed, Feature based, Textual",yes,,"8, 16, 161 genres; Musical Focus: Melody, Harmony, Rhythm, Vocals",Not specified (large music collections imply diverse instrumentation),Classification & Segmentation
Freesound-Loop-Dataset,https://zenodo.org/record/3967852,"ramires2020, author = ""Antonio Ramires and Frederic Font and Dmitry Bogdanov and Jordan B. L. Smith and Yi-Hsuan Yang and Joann Ching and Bo-Yu Chen and Yueh-Kao Wu and Hsu Wei-Han and Xavier Serra"", title = ""The Freesound Loop Dataset and Annotation Tool"", booktitle = ""Proc. of the 21st International Society for Music Information Retrieval (ISMIR)"", year = ""2020"" ",,,,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,Waveform,yes,,"Tempo, key, genre, instrumentation annotation; 6 instrument roles (Percussion, Bass, Chord, Melody, FX, Voice); Multi-label classification; Musical Focus: Rhythm","Percussion, Bass, Chord (polyphonic), Melody (monophonic), FX, Voice (can be monophonic, polyphonic, or percussive like beatboxing)","Multi-label classification for instrument roles, Auto-tagging for loop-based music"
FSD-Kaggle2019,https://zenodo.org/record/3612637,https://arxiv.org/abs/1906.02975,,,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,Waveform,yes,,80 tags,Not specified,"Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
Fugue,http://algomus.fr/data,"J. Roux et al., Annotating Texture and Imitation Patterns in a Corpus of Slow Movements in Corelli’s Trio Sonatas, submitted (2024)",Classical,European,Polyphonic,"Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,Structured Format,no,,"S/CS/CS2 patterns, cadences, pedals (over 1000 labels); Fugue structure, patterns, cadences; Musical Focus: Melody, Harmony, Rhythm","Not specified (Bach and Shostakovich fugues imply keyboard instruments like piano or organ, or chamber ensembles)","Computational Fugue Analysis, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
"GiantStepsTempo, GiantStepsTempo:alternate, GiantStepsKey","https://github.com/GiantSteps/giantsteps-tempo-dataset, http://www.tagtraum.com/download/schreiber_new_giantsteps_tempo.zip, https://github.com/GiantSteps/giantsteps-key-dataset",,,,,,,,,no,,"Tempo, key annotations; Extracted from user corrections in forum entries",Not specified (electronic dance music),"Tempo estimation, Key detection"
GNMID14,https://developer.gracenote.com/mid2014,,,,,,,,,no,,Sentiment polarity labels,Not specified,Music Identification
GoodSounds,http://mtg.upf.edu/download/datasets/good-sounds,,"Rock, Pop, Electronic",,,"Rhythm, Melody","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Compressed,yes,,"Sound goodness measures, sound attributes (dynamic stability, pitch stability, etc.); Good/bad labels by expert musicians; Musical Focus: Rhythm, Melody","Flute, Cello, Clarinet, Trumpet, Violin, Alto Sax, Tenor Sax, Baritone Sax, Soprano Sax, Piano, Acoustic Guitar, Electric Guitar","Music education applications, Sound goodness measures, Classification problem (good/bad sounds), Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
GPT,http://mac.citi.sinica.edu.tw/GuitarTranscription,,,,,,,,,yes,,"Image labels (yes/no/unsure for presence of objects), text labels (stance detection, sentiment, legal text, genre, sub-genre, release date)",Not specified (general purpose model for various data types),"Image classification, Text annotation (sentiment analysis, NER, text classification), Content generation, Completion, Translations, Summarization, Stance detection, Music generation"
GMD,http://di.ionio.gr/hilab/gmd,,,,,,,,,downloadable,,,,
"GrooveMD, ExpandedGrooveMD",https://magenta.tensorflow.org/datasets/groove,"Lee Callender, Curtis Hawthorne, and Jesse Engel. ""Improving Perceptual Quality
  of Drum Transcription with the Expanded Groove MIDI Dataset."" 2020.
  arXiv:2004.00188.","Rock, Pop, RnB & Soul, Jazz, Others","Middle-Eastern, Latin American, American",,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation, Classification & Segmentation",Open Access,"Compressed, Structured Format",rendered,,,,
GSD,https://github.com/ashispati/GuitarSoloDetection/tree/master/Dataset,,"Rock, RnB & Soul, Classical, Easy Listening",American,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,Textual,no,,"Start/stop of guitar solos; Musical Focus: Melody, Harmony, Rhythm, Vocals","Guitar (implied by ""Guitar Solo Detection"")","Guitar solo detection, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
GTZAN,http://marsyas.info/downloads/datasets.html,,"Rock, Jazz, RnB & Soul, Hip-Hop, Country, Electronic, Classical, Pop, Folk, Easy Listening",,,"Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,Feature based,yes,,"10 genres, tempo labels, key labels (Lerch), key labels (Li), beat/downbeat, metrical levels; Musical Focus: Melody, Harmony, Rhythm","Not specified (general music, implies diverse instrumentation)","Music genre recognition (MGR), Music classification, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
GuitarSet,https://guitarset.weebly.com/,https://guitarset.weebly.com/uploads/1/2/1/6/121620128/xi_ismir_2018.pdf,"Rock, Jazz",,,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,Waveform,yes,,"MIDI, pitch, beat, chords; 360 excerpts (30s) with hexaphonic audio; Musical Focus: Melody, Harmony",Guitar,"Guitar transcription, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
GZ_IsoTech,https://ccmusic-database.github.io/en/database/ccm.html#GZTech,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDLAST2019&filename=FDXB201903007&uniplatform=NZKPT&v=VAszHDtjPUbjyb1WQfxQJtP7zbstcEMs9eQ1BHF8l%25mmd2Fej8WTBW%25mmd2F62dw0zEgl116b1,"Folk, Pop, Classical, RnB & Soul, Rock","East Asian, Sub-Saharan",,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,"Waveform, Feature based",yes,,"8 Guzheng playing techniques (Left-hand: vibrato, upward portamento, downward portamento, returning portamento; Right-hand: glissando, tremolo, harmonic, plucks); Note onset, IPT prediction, note-level prediction; Musical Focus: Melody, Harmony, Rhythm, Vocals",Guzheng (plucked string instrument),"Guzheng performance analysis, Guzheng IPT detection (semantic segmentation task), Note-level prediction, Onset detection"
Hainsworth,http://www.marsyas.info/tempo/,,,,,,,,,yes,,Tempo,Not specified,"Beat tracking, Tempo analysis"
HarmonixSet,https://github.com/urinieto/harmonixset,https://ccrma.stanford.edu/~urinieto/MARL/publications/ISMIR2019-Nieto-Harmonix.pdf,Pop,"European, American",,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,"Textual , Feature based",no,,"Beats, downbeats, functional segmentation; MusicBrainz identifiers, automatically extracted onset times; Musical Focus: Rhythm",Not specified (Western popular music implies diverse instrumentation),"Beat tracking, Downbeat estimation, Automatic functional structural segmentation, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
HED,http://coconuts-palm-lab.com/EH/HED.zip,,,,,,Classification & Segmentation,Open Access,Feature based,yes,,"Hierarchical Event Descriptors (HED) for annotating data events (experimental stimuli, participant responses/actions, experimental design, temporal structure); Machine-actionable annotations; Short-form annotation, library schema, definitions, temporal scope, encoding of experimental design","Not specified (framework for general data annotation, not music-specific instruments)","Data search, extraction, and analysis; Standardized annotation and supporting infrastructure; Building archives of brain imaging data for large-scale analysis"
HHDS,http://goo.gl/5Hu51y,,,,,,,,,yes,,"Multitrack, style, tempo",Not specified,"Data labeling (general), Object detection (bounding boxes)"
holzapfel:onset,https://kth.box.com/s/o151l3rqtglhmeszah06wmvpcmpat6w9,,,,,,,,,yes,,Onset times,Five traditional percussion instruments,"Musical onset detection, Rhythmic analysis, Beat tracking, Score following, Music segmentation, Polyphonic music transcription, Instrument-specific adaptation strategies"
homburg,http://www-ai.cs.uni-dortmund.de/audio.html,https://www-ai.cs.tu-dortmund.de/auto?self=%24Publication_ecsuvq2x,"RnB & Soul, Rock, Jazz, Hip-Hop, Electronic, Folk, Pop, Country",,,"Rhythm, Harmony, Melody","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,"Waveform, Feature based",yes,,"9 genres; Musical Focus: Rhythm, Harmony, Melody","Not specified (general music, implies diverse instrumentation)","Music genre classification, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
HookTheory,https://github.com/chrisdonahue/sheetsage,"@inproceedings{donahue2022melody,
  title={Melody transcription via generative pre-training},
  author={Donahue, Chris and Thickstun, John and Liang, Percy},
  booktitle={ISMIR},
  year={2022}
}",Pop,"European, American",,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation",Conditional Access,"Waveform, Compressed, Structured Format",yes,,"Chord progressions, song analyses (over 40,000), Roman Numeral notation, bass notes, popularity of chords; Musical Focus: Melody, Harmony","Piano, Drums, Electric Guitar, Vocals (implied by song creation examples)","Chord AI recommendation, Ear training (puzzles in Chord Crush), Songwriting sketchpad, Music analysis (insights and patterns in music), Music composition (writing songs using chord progressions)"
IADS,http://csea.phhp.ufl.edu/media/iadsmessage.html,,,,,,,,,yes,,Not specified (focus on data source configuration and parameter definition files),"Not specified (general data system, not music-specific instruments)","Data source configuration, Parameter definition, Data processing, Data labeling (general)"
IDMT-PIANO-MM,https://www.idmt.fraunhofer.de/en/publications/datasets/piano-mm.html,"Automatic Detection of Audio Effects in Guitar and Bass Recordings. Proceedings of the AES 128th Convention, 2010.","Classical, Jazz",European,,Melody,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Conditional Access,Waveform,yes,,"Not explicitly detailed beyond ""piano recordings"" and ""music pieces""; Musical Focus: Melody","Piano (grand pianos, upright pianos, stage-piano)","Piano Multipitch Estimation on Mobile Devices, Music Information Retrieval"
IDMT-SMT-Bass,http://www.idmt.fraunhofer.de/en/business_units/smt/bass.html,,,,,Melody,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,Waveform,yes,,"10 bass-related playing techniques (5 plucking styles: fingerstyle, picked, muted, slap-thumb, slap-pluck; 5 expression styles: normal, vibrato, bending, harmonics, dead-note); Single recorded notes; Musical Focus: Melody",Electric Bass Guitars (3 different 4-string electric bass guitars),"Automatic bass transcription, Signal processing, Bass performance styles"
IDMT-SMT-Audio-Effects,http://www.idmt.fraunhofer.de/en/business_units/smt/audio_effects.html,,,,"Monophonic, Polyphonic",Melody,"Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Conditional Access,Waveform,yes,,"11 different audio effects (feedback delay, slapback delay, reverb, chorus, flanger, phaser, tremolo, vibrato); Single recorded notes; Instrument, MIDI number, effect group, effect type, effect setting; Musical Focus: Melody","Electric Guitar, Bass","Automatic detection of audio effects, Signal processing"
IDMT-SMT-Bass-SINGLE-TRACK,http://www.idmt.fraunhofer.de/en/business_units/smt/bass_lines.html,"Parametric Audio Coding of Bass Guitar Recordings using a Tuned Physical Modeling Algorithm, submitted to the 16th International Conference on Digital Audio Effects (DAFx), 2013",,,,"Melody, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,Waveform,yes,,"Pattern length, begin of first pattern appearance; Note annotations (onset, offset, pitch); Instrument-related parameters (string number, fret number); 5 plucking style classes (Finger-style, Picked, Muted, Slap-Pluck, Slap-Thumb); 6 expression styles (Vibrato, Slide); Musical Focus: Melody, Harmony",Bass Guitar,"Retrieval of repetitive bass patterns, Bass transcription, Spatial transcription/estimation of fretboard position, Estimation of bass guitar plucking styles, Estimation of bass guitar expression styles"
IDMT-SMT-Drum,http://www.idmt.fraunhofer.de/en/business_units/smt/drums.html,,,,,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,Waveform,yes,,"Onsets of kick drum, snare drum, hi-hat (manually annotated); Drum loops; Musical Focus: Rhythm","Kick Drum, Snare Drum, Hi-Hat (from real-world acoustic drum sets, drum sample libraries, drum synthesizers)","Automatic drum transcription, Source separation"
IDMT-SMT-Guitar,http://www.idmt.fraunhofer.de/en/business_units/smt/guitar.html,,,,"Monophonic, Polyphonic","Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Conditional Access,Waveform,yes,,"9 guitar playing techniques (plucking styles: finger-style, muted, picked; expression styles: normal, bending, slide, vibrato, harmonics, dead-notes); Onset positions, chords, rhythmic pattern length, texture (monophony/polyphony); Musical Focus: Melody, Harmony, Rhythm",Electric and Acoustic Guitars (7 different guitars),"Automatic guitar transcription, Chord recognition, Rhythm style estimation"
IDMT-MT,https://www.jyu.fi/hytk/fi/laitokset/mutku/en/research/projects2/past-projects/coe/materials/Multitrack,,,,,,,,,yes,,"Not specified (general data labeling for text, image, video)","Not specified (general data labeling, not music-specific instruments)","Text, image, and video data labeling (classification, object detection, segmentation, action recognition, object tracking)"
iKala,http://mac.citi.sinica.edu.tw/ikala/,,,,,,,,,yes,,"Singing voice tracks, background tracks; Human-labeled pitch contours, timestamped lyrics","Singing Voice, Music Accompaniment (implied multiple instruments)","Singing voice separation, Vocal melody extraction, Polyphonic note transcription, Multipitch estimation, Speech separation"
"INRIA:EuroVision, INRIA:Quaero",http://musicdata.gforge.inria.fr/structureAnnotation.html,,,,,,,,,no,,"Structure; Tags (genre, instruments, mood)","Not specified (general music, implies diverse instrumentation)",Structure annotation
UIOWA:MIS,http://theremin.music.uiowa.edu/MIS.html,,Electronic,,,"Melody, Rhythm","Monomdal Embeddings , Unsupervised pretraining",Open Access,Waveform,yes,,"Not specified (focus on shared instrumentation for chemistry research); Musical Focus: Melody, Rhythm","Not specified (chemistry instruments like calorimeter, spectrophotometer, autoclave, atomic force microscope, UV-Vis/NIR)",Not specified (chemistry research applications)
IRMAS,http://www.mtg.upf.edu/download/datasets/irmas,http://ismir2012.ismir.net/event/papers/559_ISMIR_2012.pdf,,,,"Melody, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Conditional Access,Waveform,yes,,"Predominant instrument(s) present; Annotations in folder/file name (cello, clarinet, flute, acoustic guitar, electric guitar, organ, piano, saxophone, trumpet, violin, human singing voice); Multi-labeled files for testing; Musical Focus: Melody, Vocals","Cello, Clarinet, Flute, Acoustic Guitar, Electric Guitar, Organ, Piano, Saxophone, Trumpet, Violin, Human Singing Voice","Instrument recognition in musical audio signals, Automatic recognition of predominant instruments, Training and testing methods for instrument recognition, Music search by instrument, Genre classification, Automatic music transcription"
ISMIR2004Genre,http://ismir2004.ismir.net/genre_contest/index.html,,"Rock, Pop, Electronic, Jazz, RnB & Soul, Classical",,,"Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval","Conditional Access, Open Access","Waveform, Feature based",yes,,"6 genres; Musical Focus: Melody, Harmony, Rhythm, Vocals","Not specified (general music, implies diverse instrumentation)","Music genre classification, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
ISMIR2004Tempo,http://mtg.upf.edu/ismir2004/contest/tempoContest/node6.html,,"Rock, Electronic, Jazz, Classical, Others","Latin American, Sub-Saharan, European",,"Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",Open Access,Waveform,yes,,"Tempo; Musical Focus: Melody, Harmony, Rhythm","Not specified (general music, implies diverse instrumentation)","Tempo induction, Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval"
JAAH,https://github.com/MTG/JAAH,,Jazz,,,Harmony,Transcription & Generation,Open Access,Feature based,no,,"Structure, key, chords, beats; Chord segments, mean BPM, mean harmonic rhythm; Bigram (chord quality, interval, second chord quality), N-gram; Chroma distribution plots (degree-based chroma, joint distribution of degrees, dispersion of degree usage); Musical Focus: Harmony","Not specified (Jazz music, implies diverse instrumentation)","Chord transition analysis, Music analysis (sonic aura, chord realization), Music information retrieval"
Jamendo-VAD,https://jobim.ofai.at/download/jamendo.tgz,,,,,,,,,yes,,"Voice activity; Tags (genre, instrument, mood/theme)","Not specified (general music, implies diverse instrumentation)","Speech and music activity detection, Music auto-tagging (genre, instrument, mood/theme recognition)"
JGDB,https://ccrma.stanford.edu/~jga/ismir2010/ismir2010.html,,,,,,,,,yes,,"Multitrack, MIDI","Not specified (randomly generated excerpts, implies diverse instrumentation)",Not specified
JKU-ScoFo,http://www.cp.jku.at/resources/2019_RLScoFo_TISMIR,,Classical,European,"Monophonic, Polyphonic","Melody, Rhythm, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Waveform,yes,,"Audio, MIDI; Musical Focus: Melody, Rhythm, Harmony",Not specified,"Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
"Jordan:Classical, Jordan:Jazz",http://jblsmith.github.io/projects/masters-thesis/,,,,,,,,,yes,,Structure,Not specified,Not specified
JLSDD,https://github.com/ELVIS-Project/mass-duos-corpus-josquin-larue/tree/Methodologies-for-Creating-Symbolic-Music-Corpora,,"Classical, Jazz",American,,,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,"Feature based, Compressed, Structured Format",no,,Symbolic scores,Not specified,"Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation"
KUGDastgahi,https://phaidra.kug.ac.at/view/o:127195,,Classical,Middle-Eastern,,,,Open Access,"Compressed, Textual",audio,,Not specified,Not specified,Not specified
LabROSA:APT,http://labrosa.ee.columbia.edu/projects/piano/,http://www.ee.columbia.edu/~graham/papers/piano.pdf,Classical,,Polyphonic,Melody,"Unsupervised pretraining, Monomdal Embeddings , Transcription & Generation",,,yes,,Not specified (focus on Advanced Persistent Threat attacks in Linux systems); Musical Focus: Melody,"Not specified (Linux systems, not music-specific instruments)","Researching intrusion patterns, Analyzing APT attacks, Developing intrusion detection systems, Digital forensics, Training/testing AI models for detection"
